"","batch","type","cluster"
"W31695","MARS-seq","MEP","MARS-seq 0"
"W31696","MARS-seq","GMP","MARS-seq 1"
"W31697","MARS-seq","CMP","MARS-seq 2"
"W31698","MARS-seq","MEP","MARS-seq 0"
"W31699","MARS-seq","MEP","MARS-seq 0"
"W31700","MARS-seq","MEP","MARS-seq 0"
"W31701","MARS-seq","GMP","MARS-seq 4"
"W31702","MARS-seq","GMP","MARS-seq 1"
"W31703","MARS-seq","GMP","MARS-seq 4"
"W31704","MARS-seq","MEP","MARS-seq 3"
"W31705","MARS-seq","GMP","MARS-seq 1"
"W31706","MARS-seq","MEP","MARS-seq 3"
"W31707","MARS-seq","GMP","MARS-seq 1"
"W31708","MARS-seq","GMP","MARS-seq 1"
"W31711","MARS-seq","GMP","MARS-seq 4"
"W31712","MARS-seq","GMP","MARS-seq 2"
"W31713","MARS-seq","GMP","MARS-seq 4"
"W31714","MARS-seq","GMP","MARS-seq 1"
"W31715","MARS-seq","GMP","MARS-seq 2"
"W31716","MARS-seq","GMP","MARS-seq 2"
"W31717","MARS-seq","MEP","MARS-seq 0"
"W31718","MARS-seq","MEP","MARS-seq 0"
"W31719","MARS-seq","MEP","MARS-seq 0"
"W31720","MARS-seq","MEP","MARS-seq 3"
"W31721","MARS-seq","GMP","MARS-seq 4"
"W31722","MARS-seq","CMP","MARS-seq 2"
"W31723","MARS-seq","MEP","MARS-seq 3"
"W31724","MARS-seq","CMP","MARS-seq 2"
"W31725","MARS-seq","CMP","MARS-seq 3"
"W31726","MARS-seq","GMP","MARS-seq 1"
"W31727","MARS-seq","GMP","MARS-seq 1"
"W31728","MARS-seq","MEP","MARS-seq 0"
"W31729","MARS-seq","GMP","MARS-seq 4"
"W31730","MARS-seq","GMP","MARS-seq 4"
"W31731","MARS-seq","MEP","MARS-seq 3"
"W31732","MARS-seq","GMP","MARS-seq 2"
"W31733","MARS-seq","GMP","MARS-seq 1"
"W31734","MARS-seq","GMP","MARS-seq 2"
"W31735","MARS-seq","MEP","MARS-seq 0"
"W31736","MARS-seq","MEP","MARS-seq 0"
"W31737","MARS-seq","GMP","MARS-seq 1"
"W31738","MARS-seq","CMP","MARS-seq 2"
"W31739","MARS-seq","GMP","MARS-seq 4"
"W31740","MARS-seq","GMP","MARS-seq 4"
"W31741","MARS-seq","CMP","MARS-seq 2"
"W31742","MARS-seq","MEP","MARS-seq 0"
"W31743","MARS-seq","GMP","MARS-seq 1"
"W31744","MARS-seq","GMP","MARS-seq 2"
"W31745","MARS-seq","CMP","MARS-seq 2"
"W31746","MARS-seq","GMP","MARS-seq 2"
"W31748","MARS-seq","GMP","MARS-seq 4"
"W31749","MARS-seq","CMP","MARS-seq 2"
"W31750","MARS-seq","GMP","MARS-seq 1"
"W31751","MARS-seq","GMP","MARS-seq 4"
"W31752","MARS-seq","MEP","MARS-seq 3"
"W31755","MARS-seq","MEP","MARS-seq 3"
"W31756","MARS-seq","CMP","MARS-seq 2"
"W31758","MARS-seq","GMP","MARS-seq 1"
"W31760","MARS-seq","GMP","MARS-seq 4"
"W31761","MARS-seq","MEP","MARS-seq 0"
"W31762","MARS-seq","GMP","MARS-seq 1"
"W31764","MARS-seq","GMP","MARS-seq 1"
"W31765","MARS-seq","GMP","MARS-seq 1"
"W31767","MARS-seq","GMP","MARS-seq 4"
"W31768","MARS-seq","MEP","MARS-seq 0"
"W31771","MARS-seq","GMP","MARS-seq 3"
"W31773","MARS-seq","CMP","MARS-seq 2"
"W31774","MARS-seq","CMP","MARS-seq 5"
"W31775","MARS-seq","MEP","MARS-seq 0"
"W31777","MARS-seq","MEP","MARS-seq 0"
"W31778","MARS-seq","MEP","MARS-seq 3"
"W31779","MARS-seq","MEP","MARS-seq 3"
"W31780","MARS-seq","MEP","MARS-seq 0"
"W31781","MARS-seq","MEP","MARS-seq 0"
"W31782","MARS-seq","GMP","MARS-seq 1"
"W31783","MARS-seq","MEP","MARS-seq 0"
"W31785","MARS-seq","GMP","MARS-seq 4"
"W31786","MARS-seq","MEP","MARS-seq 0"
"W31787","MARS-seq","CMP","MARS-seq 2"
"W31788","MARS-seq","MEP","MARS-seq 3"
"W31789","MARS-seq","GMP","MARS-seq 2"
"W31791","MARS-seq","CMP","MARS-seq 2"
"W31792","MARS-seq","CMP","MARS-seq 3"
"W31793","MARS-seq","GMP","MARS-seq 2"
"W31794","MARS-seq","GMP","MARS-seq 2"
"W31795","MARS-seq","MEP","MARS-seq 3"
"W31796","MARS-seq","CMP","MARS-seq 3"
"W31797","MARS-seq","MEP","MARS-seq 0"
"W31798","MARS-seq","GMP","MARS-seq 1"
"W31799","MARS-seq","GMP","MARS-seq 1"
"W31801","MARS-seq","GMP","MARS-seq 1"
"W31802","MARS-seq","GMP","MARS-seq 1"
"W31803","MARS-seq","MEP","MARS-seq 0"
"W31804","MARS-seq","GMP","MARS-seq 1"
"W31805","MARS-seq","CMP","MARS-seq 3"
"W31806","MARS-seq","MEP","MARS-seq 0"
"W31807","MARS-seq","GMP","MARS-seq 2"
"W31808","MARS-seq","GMP","MARS-seq 4"
"W31809","MARS-seq","GMP","MARS-seq 2"
"W31810","MARS-seq","CMP","MARS-seq 5"
"W31811","MARS-seq","GMP","MARS-seq 2"
"W31812","MARS-seq","GMP","MARS-seq 2"
"W31813","MARS-seq","GMP","MARS-seq 2"
"W31814","MARS-seq","MEP","MARS-seq 0"
"W31815","MARS-seq","CMP","MARS-seq 5"
"W31816","MARS-seq","GMP","MARS-seq 2"
"W31817","MARS-seq","GMP","MARS-seq 1"
"W31818","MARS-seq","MEP","MARS-seq 0"
"W31819","MARS-seq","MEP","MARS-seq 0"
"W31820","MARS-seq","GMP","MARS-seq 4"
"W31821","MARS-seq","GMP","MARS-seq 2"
"W31822","MARS-seq","CMP","MARS-seq 2"
"W31823","MARS-seq","GMP","MARS-seq 4"
"W31824","MARS-seq","GMP","MARS-seq 1"
"W31825","MARS-seq","CMP","MARS-seq 1"
"W31826","MARS-seq","GMP","MARS-seq 4"
"W31827","MARS-seq","MEP","MARS-seq 3"
"W31828","MARS-seq","GMP","MARS-seq 1"
"W31829","MARS-seq","GMP","MARS-seq 2"
"W31830","MARS-seq","CMP","MARS-seq 2"
"W31831","MARS-seq","MEP","MARS-seq 0"
"W31832","MARS-seq","MEP","MARS-seq 0"
"W31834","MARS-seq","MEP","MARS-seq 0"
"W31835","MARS-seq","MEP","MARS-seq 0"
"W31836","MARS-seq","GMP","MARS-seq 1"
"W31837","MARS-seq","GMP","MARS-seq 2"
"W31838","MARS-seq","MEP","MARS-seq 0"
"W31839","MARS-seq","MEP","MARS-seq 0"
"W31840","MARS-seq","GMP","MARS-seq 4"
"W31841","MARS-seq","MEP","MARS-seq 3"
"W31842","MARS-seq","GMP","MARS-seq 2"
"W31845","MARS-seq","GMP","MARS-seq 1"
"W31846","MARS-seq","MEP","MARS-seq 0"
"W31847","MARS-seq","MEP","MARS-seq 0"
"W31849","MARS-seq","MEP","MARS-seq 0"
"W31850","MARS-seq","MEP","MARS-seq 0"
"W31851","MARS-seq","MEP","MARS-seq 0"
"W31854","MARS-seq","CMP","MARS-seq 2"
"W31855","MARS-seq","MEP","MARS-seq 0"
"W31856","MARS-seq","GMP","MARS-seq 2"
"W31857","MARS-seq","GMP","MARS-seq 1"
"W31858","MARS-seq","MEP","MARS-seq 0"
"W31859","MARS-seq","GMP","MARS-seq 2"
"W31860","MARS-seq","GMP","MARS-seq 2"
"W31861","MARS-seq","GMP","MARS-seq 4"
"W31864","MARS-seq","GMP","MARS-seq 1"
"W31865","MARS-seq","GMP","MARS-seq 1"
"W31866","MARS-seq","GMP","MARS-seq 1"
"W31868","MARS-seq","GMP","MARS-seq 1"
"W31870","MARS-seq","CMP","MARS-seq 2"
"W31871","MARS-seq","GMP","MARS-seq 4"
"W31872","MARS-seq","GMP","MARS-seq 1"
"W36865","MARS-seq","CMP","MARS-seq 3"
"W36866","MARS-seq","GMP","MARS-seq 1"
"W36867","MARS-seq","CMP","MARS-seq 3"
"W36868","MARS-seq","GMP","MARS-seq 1"
"W36869","MARS-seq","MEP","MARS-seq 0"
"W36871","MARS-seq","MEP","MARS-seq 0"
"W36873","MARS-seq","GMP","MARS-seq 1"
"W36874","MARS-seq","GMP","MARS-seq 1"
"W36875","MARS-seq","GMP","MARS-seq 4"
"W36876","MARS-seq","MEP","MARS-seq 0"
"W36877","MARS-seq","GMP","MARS-seq 2"
"W36878","MARS-seq","MEP","MARS-seq 0"
"W36879","MARS-seq","GMP","MARS-seq 1"
"W36881","MARS-seq","MEP","MARS-seq 0"
"W36882","MARS-seq","MEP","MARS-seq 3"
"W36883","MARS-seq","MEP","MARS-seq 0"
"W36885","MARS-seq","GMP","MARS-seq 4"
"W36886","MARS-seq","GMP","MARS-seq 2"
"W36887","MARS-seq","CMP","MARS-seq 3"
"W36889","MARS-seq","MEP","MARS-seq 0"
"W36890","MARS-seq","CMP","MARS-seq 3"
"W36891","MARS-seq","GMP","MARS-seq 1"
"W36892","MARS-seq","GMP","MARS-seq 1"
"W36893","MARS-seq","CMP","MARS-seq 3"
"W36894","MARS-seq","MEP","MARS-seq 0"
"W36895","MARS-seq","GMP","MARS-seq 4"
"W36897","MARS-seq","MEP","MARS-seq 0"
"W36898","MARS-seq","MEP","MARS-seq 0"
"W36899","MARS-seq","CMP","MARS-seq 2"
"W36900","MARS-seq","MEP","MARS-seq 0"
"W36901","MARS-seq","MEP","MARS-seq 0"
"W36902","MARS-seq","MEP","MARS-seq 0"
"W36903","MARS-seq","GMP","MARS-seq 1"
"W36905","MARS-seq","MEP","MARS-seq 0"
"W36906","MARS-seq","MEP","MARS-seq 0"
"W36907","MARS-seq","GMP","MARS-seq 4"
"W36908","MARS-seq","GMP","MARS-seq 4"
"W36909","MARS-seq","CMP","MARS-seq 3"
"W36910","MARS-seq","GMP","MARS-seq 4"
"W36911","MARS-seq","GMP","MARS-seq 4"
"W36912","MARS-seq","CMP","MARS-seq 2"
"W36913","MARS-seq","MEP","MARS-seq 0"
"W36914","MARS-seq","GMP","MARS-seq 1"
"W36915","MARS-seq","CMP","MARS-seq 3"
"W36916","MARS-seq","GMP","MARS-seq 4"
"W36917","MARS-seq","GMP","MARS-seq 1"
"W36918","MARS-seq","GMP","MARS-seq 4"
"W36919","MARS-seq","MEP","MARS-seq 0"
"W36920","MARS-seq","GMP","MARS-seq 1"
"W36921","MARS-seq","GMP","MARS-seq 4"
"W36922","MARS-seq","MEP","MARS-seq 0"
"W36923","MARS-seq","MEP","MARS-seq 0"
"W36924","MARS-seq","GMP","MARS-seq 1"
"W36925","MARS-seq","GMP","MARS-seq 1"
"W36926","MARS-seq","GMP","MARS-seq 1"
"W36927","MARS-seq","MEP","MARS-seq 0"
"W36928","MARS-seq","GMP","MARS-seq 2"
"W36929","MARS-seq","CMP","MARS-seq 3"
"W36930","MARS-seq","GMP","MARS-seq 4"
"W36931","MARS-seq","MEP","MARS-seq 3"
"W36932","MARS-seq","GMP","MARS-seq 4"
"W36933","MARS-seq","GMP","MARS-seq 4"
"W36934","MARS-seq","GMP","MARS-seq 2"
"W36935","MARS-seq","MEP","MARS-seq 3"
"W36936","MARS-seq","GMP","MARS-seq 1"
"W36939","MARS-seq","GMP","MARS-seq 4"
"W36940","MARS-seq","GMP","MARS-seq 4"
"W36941","MARS-seq","GMP","MARS-seq 1"
"W36942","MARS-seq","GMP","MARS-seq 1"
"W36943","MARS-seq","MEP","MARS-seq 0"
"W36944","MARS-seq","MEP","MARS-seq 3"
"W36945","MARS-seq","MEP","MARS-seq 3"
"W36946","MARS-seq","GMP","MARS-seq 1"
"W36947","MARS-seq","GMP","MARS-seq 1"
"W36948","MARS-seq","GMP","MARS-seq 4"
"W36949","MARS-seq","MEP","MARS-seq 0"
"W36950","MARS-seq","MEP","MARS-seq 0"
"W36951","MARS-seq","MEP","MARS-seq 0"
"W36952","MARS-seq","MEP","MARS-seq 0"
"W36953","MARS-seq","MEP","MARS-seq 0"
"W36954","MARS-seq","MEP","MARS-seq 0"
"W36955","MARS-seq","GMP","MARS-seq 1"
"W36956","MARS-seq","GMP","MARS-seq 1"
"W36957","MARS-seq","GMP","MARS-seq 1"
"W36958","MARS-seq","GMP","MARS-seq 4"
"W36959","MARS-seq","MEP","MARS-seq 0"
"W36960","MARS-seq","MEP","MARS-seq 0"
"W36961","MARS-seq","GMP","MARS-seq 1"
"W36962","MARS-seq","GMP","MARS-seq 1"
"W36963","MARS-seq","GMP","MARS-seq 4"
"W36964","MARS-seq","GMP","MARS-seq 1"
"W36966","MARS-seq","GMP","MARS-seq 4"
"W36967","MARS-seq","MEP","MARS-seq 0"
"W36969","MARS-seq","CMP","MARS-seq 3"
"W36970","MARS-seq","GMP","MARS-seq 4"
"W36971","MARS-seq","GMP","MARS-seq 1"
"W36972","MARS-seq","CMP","MARS-seq 2"
"W36973","MARS-seq","CMP","MARS-seq 2"
"W36974","MARS-seq","MEP","MARS-seq 0"
"W36975","MARS-seq","GMP","MARS-seq 1"
"W36976","MARS-seq","MEP","MARS-seq 3"
"W36977","MARS-seq","CMP","MARS-seq 5"
"W36978","MARS-seq","MEP","MARS-seq 0"
"W36979","MARS-seq","GMP","MARS-seq 1"
"W36980","MARS-seq","GMP","MARS-seq 2"
"W36981","MARS-seq","CMP","MARS-seq 3"
"W36982","MARS-seq","GMP","MARS-seq 2"
"W36983","MARS-seq","MEP","MARS-seq 0"
"W36984","MARS-seq","GMP","MARS-seq 1"
"W36985","MARS-seq","MEP","MARS-seq 0"
"W36987","MARS-seq","GMP","MARS-seq 2"
"W36990","MARS-seq","GMP","MARS-seq 1"
"W36991","MARS-seq","GMP","MARS-seq 2"
"W36992","MARS-seq","MEP","MARS-seq 0"
"W36993","MARS-seq","MEP","MARS-seq 0"
"W36994","MARS-seq","GMP","MARS-seq 4"
"W36995","MARS-seq","MEP","MARS-seq 0"
"W36996","MARS-seq","MEP","MARS-seq 0"
"W36997","MARS-seq","MEP","MARS-seq 0"
"W36998","MARS-seq","MEP","MARS-seq 3"
"W36999","MARS-seq","CMP","MARS-seq 1"
"W37000","MARS-seq","GMP","MARS-seq 1"
"W37001","MARS-seq","GMP","MARS-seq 2"
"W37003","MARS-seq","CMP","MARS-seq 3"
"W37004","MARS-seq","GMP","MARS-seq 4"
"W37005","MARS-seq","GMP","MARS-seq 1"
"W37006","MARS-seq","CMP","MARS-seq 3"
"W37008","MARS-seq","MEP","MARS-seq 0"
"W37009","MARS-seq","GMP","MARS-seq 1"
"W37010","MARS-seq","MEP","MARS-seq 3"
"W37011","MARS-seq","MEP","MARS-seq 0"
"W37012","MARS-seq","GMP","MARS-seq 2"
"W37013","MARS-seq","GMP","MARS-seq 4"
"W37014","MARS-seq","MEP","MARS-seq 0"
"W37015","MARS-seq","GMP","MARS-seq 2"
"W37016","MARS-seq","GMP","MARS-seq 4"
"W37017","MARS-seq","MEP","MARS-seq 0"
"W37018","MARS-seq","MEP","MARS-seq 0"
"W37019","MARS-seq","MEP","MARS-seq 0"
"W37020","MARS-seq","MEP","MARS-seq 0"
"W37022","MARS-seq","CMP","MARS-seq 3"
"W37023","MARS-seq","MEP","MARS-seq 0"
"W37024","MARS-seq","MEP","MARS-seq 0"
"W37025","MARS-seq","GMP","MARS-seq 1"
"W37026","MARS-seq","GMP","MARS-seq 2"
"W37027","MARS-seq","MEP","MARS-seq 0"
"W37028","MARS-seq","GMP","MARS-seq 1"
"W37029","MARS-seq","CMP","MARS-seq 3"
"W37030","MARS-seq","MEP","MARS-seq 0"
"W37031","MARS-seq","MEP","MARS-seq 0"
"W37032","MARS-seq","GMP","MARS-seq 1"
"W37034","MARS-seq","CMP","MARS-seq 3"
"W37035","MARS-seq","MEP","MARS-seq 3"
"W37036","MARS-seq","MEP","MARS-seq 0"
"W37037","MARS-seq","MEP","MARS-seq 0"
"W37038","MARS-seq","CMP","MARS-seq 5"
"W37039","MARS-seq","MEP","MARS-seq 0"
"W37040","MARS-seq","GMP","MARS-seq 4"
"W37041","MARS-seq","MEP","MARS-seq 0"
"W37042","MARS-seq","MEP","MARS-seq 0"
"W37043","MARS-seq","GMP","MARS-seq 4"
"W37044","MARS-seq","GMP","MARS-seq 4"
"W37045","MARS-seq","GMP","MARS-seq 1"
"W37046","MARS-seq","GMP","MARS-seq 1"
"W37047","MARS-seq","GMP","MARS-seq 1"
"W37048","MARS-seq","GMP","MARS-seq 1"
"W37049","MARS-seq","MEP","MARS-seq 0"
"W37050","MARS-seq","CMP","MARS-seq 3"
"W37051","MARS-seq","MEP","MARS-seq 0"
"W37052","MARS-seq","MEP","MARS-seq 0"
"W37053","MARS-seq","CMP","MARS-seq 3"
"W37054","MARS-seq","MEP","MARS-seq 0"
"W37055","MARS-seq","GMP","MARS-seq 1"
"W37056","MARS-seq","MEP","MARS-seq 0"
"W37057","MARS-seq","GMP","MARS-seq 4"
"W37058","MARS-seq","GMP","MARS-seq 1"
"W37059","MARS-seq","MEP","MARS-seq 0"
"W37060","MARS-seq","GMP","MARS-seq 1"
"W37061","MARS-seq","MEP","MARS-seq 0"
"W37063","MARS-seq","CMP","MARS-seq 2"
"W37065","MARS-seq","MEP","MARS-seq 0"
"W37066","MARS-seq","MEP","MARS-seq 0"
"W37067","MARS-seq","MEP","MARS-seq 0"
"W37068","MARS-seq","MEP","MARS-seq 0"
"W37069","MARS-seq","GMP","MARS-seq 1"
"W37070","MARS-seq","CMP","MARS-seq 2"
"W37072","MARS-seq","CMP","MARS-seq 3"
"W37073","MARS-seq","GMP","MARS-seq 1"
"W37074","MARS-seq","GMP","MARS-seq 1"
"W37075","MARS-seq","GMP","MARS-seq 1"
"W37077","MARS-seq","CMP","MARS-seq 2"
"W37078","MARS-seq","CMP","MARS-seq 2"
"W37079","MARS-seq","MEP","MARS-seq 0"
"W37080","MARS-seq","GMP","MARS-seq 4"
"W37081","MARS-seq","GMP","MARS-seq 1"
"W37082","MARS-seq","GMP","MARS-seq 4"
"W37083","MARS-seq","MEP","MARS-seq 0"
"W37084","MARS-seq","MEP","MARS-seq 0"
"W37085","MARS-seq","GMP","MARS-seq 2"
"W37086","MARS-seq","MEP","MARS-seq 0"
"W37087","MARS-seq","MEP","MARS-seq 0"
"W37088","MARS-seq","MEP","MARS-seq 0"
"W37089","MARS-seq","GMP","MARS-seq 4"
"W37090","MARS-seq","CMP","MARS-seq 2"
"W37091","MARS-seq","CMP","MARS-seq 2"
"W37092","MARS-seq","GMP","MARS-seq 3"
"W37093","MARS-seq","CMP","MARS-seq 3"
"W37094","MARS-seq","GMP","MARS-seq 4"
"W37095","MARS-seq","MEP","MARS-seq 0"
"W37096","MARS-seq","GMP","MARS-seq 1"
"W37097","MARS-seq","GMP","MARS-seq 2"
"W37098","MARS-seq","GMP","MARS-seq 1"
"W37099","MARS-seq","MEP","MARS-seq 0"
"W37100","MARS-seq","GMP","MARS-seq 4"
"W37101","MARS-seq","GMP","MARS-seq 1"
"W37102","MARS-seq","GMP","MARS-seq 1"
"W37103","MARS-seq","MEP","MARS-seq 0"
"W37104","MARS-seq","GMP","MARS-seq 1"
"W37105","MARS-seq","GMP","MARS-seq 4"
"W37106","MARS-seq","MEP","MARS-seq 0"
"W37107","MARS-seq","GMP","MARS-seq 4"
"W37108","MARS-seq","CMP","MARS-seq 3"
"W37109","MARS-seq","CMP","MARS-seq 3"
"W37110","MARS-seq","MEP","MARS-seq 0"
"W37111","MARS-seq","GMP","MARS-seq 1"
"W37112","MARS-seq","MEP","MARS-seq 0"
"W37113","MARS-seq","MEP","MARS-seq 0"
"W37114","MARS-seq","GMP","MARS-seq 1"
"W37115","MARS-seq","MEP","MARS-seq 3"
"W37116","MARS-seq","GMP","MARS-seq 1"
"W37117","MARS-seq","GMP","MARS-seq 2"
"W37118","MARS-seq","GMP","MARS-seq 2"
"W37119","MARS-seq","MEP","MARS-seq 0"
"W37120","MARS-seq","MEP","MARS-seq 0"
"W37121","MARS-seq","MEP","MARS-seq 0"
"W37122","MARS-seq","GMP","MARS-seq 1"
"W37123","MARS-seq","GMP","MARS-seq 4"
"W37124","MARS-seq","GMP","MARS-seq 4"
"W37125","MARS-seq","MEP","MARS-seq 0"
"W37126","MARS-seq","CMP","MARS-seq 5"
"W37127","MARS-seq","MEP","MARS-seq 0"
"W37128","MARS-seq","GMP","MARS-seq 2"
"W37130","MARS-seq","MEP","MARS-seq 0"
"W37131","MARS-seq","MEP","MARS-seq 0"
"W37132","MARS-seq","GMP","MARS-seq 4"
"W37133","MARS-seq","GMP","MARS-seq 4"
"W37134","MARS-seq","MEP","MARS-seq 3"
"W37135","MARS-seq","MEP","MARS-seq 0"
"W37137","MARS-seq","GMP","MARS-seq 2"
"W37138","MARS-seq","GMP","MARS-seq 4"
"W37139","MARS-seq","MEP","MARS-seq 0"
"W37140","MARS-seq","CMP","MARS-seq 3"
"W37141","MARS-seq","MEP","MARS-seq 0"
"W37142","MARS-seq","GMP","MARS-seq 1"
"W37143","MARS-seq","MEP","MARS-seq 0"
"W37144","MARS-seq","MEP","MARS-seq 0"
"W37145","MARS-seq","MEP","MARS-seq 0"
"W37146","MARS-seq","MEP","MARS-seq 0"
"W37147","MARS-seq","MEP","MARS-seq 3"
"W37148","MARS-seq","GMP","MARS-seq 4"
"W37150","MARS-seq","CMP","MARS-seq 2"
"W37151","MARS-seq","MEP","MARS-seq 0"
"W37152","MARS-seq","MEP","MARS-seq 0"
"W37153","MARS-seq","CMP","MARS-seq 3"
"W37154","MARS-seq","MEP","MARS-seq 0"
"W37155","MARS-seq","CMP","MARS-seq 5"
"W37156","MARS-seq","MEP","MARS-seq 0"
"W37157","MARS-seq","GMP","MARS-seq 1"
"W37158","MARS-seq","MEP","MARS-seq 0"
"W37159","MARS-seq","MEP","MARS-seq 0"
"W37161","MARS-seq","CMP","MARS-seq 3"
"W37162","MARS-seq","MEP","MARS-seq 0"
"W37163","MARS-seq","CMP","MARS-seq 3"
"W37164","MARS-seq","MEP","MARS-seq 0"
"W37165","MARS-seq","MEP","MARS-seq 0"
"W37166","MARS-seq","MEP","MARS-seq 0"
"W37167","MARS-seq","GMP","MARS-seq 2"
"W37168","MARS-seq","MEP","MARS-seq 0"
"W37169","MARS-seq","GMP","MARS-seq 4"
"W37170","MARS-seq","GMP","MARS-seq 1"
"W37171","MARS-seq","MEP","MARS-seq 0"
"W37172","MARS-seq","GMP","MARS-seq 1"
"W37173","MARS-seq","MEP","MARS-seq 0"
"W37174","MARS-seq","MEP","MARS-seq 0"
"W37175","MARS-seq","GMP","MARS-seq 4"
"W37176","MARS-seq","GMP","MARS-seq 1"
"W37177","MARS-seq","GMP","MARS-seq 1"
"W37178","MARS-seq","MEP","MARS-seq 0"
"W37179","MARS-seq","GMP","MARS-seq 4"
"W37180","MARS-seq","GMP","MARS-seq 1"
"W37181","MARS-seq","GMP","MARS-seq 4"
"W37182","MARS-seq","CMP","MARS-seq 3"
"W37183","MARS-seq","CMP","MARS-seq 3"
"W37184","MARS-seq","CMP","MARS-seq 3"
"W37185","MARS-seq","GMP","MARS-seq 1"
"W37186","MARS-seq","CMP","MARS-seq 1"
"W37187","MARS-seq","MEP","MARS-seq 0"
"W37188","MARS-seq","CMP","MARS-seq 3"
"W37190","MARS-seq","MEP","MARS-seq 0"
"W37191","MARS-seq","GMP","MARS-seq 2"
"W37192","MARS-seq","GMP","MARS-seq 1"
"W37193","MARS-seq","MEP","MARS-seq 0"
"W37194","MARS-seq","MEP","MARS-seq 0"
"W37195","MARS-seq","MEP","MARS-seq 0"
"W37196","MARS-seq","GMP","MARS-seq 4"
"W37197","MARS-seq","MEP","MARS-seq 0"
"W37198","MARS-seq","MEP","MARS-seq 3"
"W37199","MARS-seq","MEP","MARS-seq 0"
"W37200","MARS-seq","GMP","MARS-seq 4"
"W37201","MARS-seq","GMP","MARS-seq 1"
"W37202","MARS-seq","MEP","MARS-seq 3"
"W37203","MARS-seq","GMP","MARS-seq 2"
"W37204","MARS-seq","GMP","MARS-seq 4"
"W37205","MARS-seq","GMP","MARS-seq 1"
"W37206","MARS-seq","GMP","MARS-seq 4"
"W37207","MARS-seq","GMP","MARS-seq 1"
"W37208","MARS-seq","MEP","MARS-seq 0"
"W37209","MARS-seq","GMP","MARS-seq 2"
"W37210","MARS-seq","GMP","MARS-seq 2"
"W37211","MARS-seq","GMP","MARS-seq 2"
"W37212","MARS-seq","CMP","MARS-seq 2"
"W37213","MARS-seq","CMP","MARS-seq 3"
"W37215","MARS-seq","MEP","MARS-seq 0"
"W37216","MARS-seq","MEP","MARS-seq 0"
"W37217","MARS-seq","MEP","MARS-seq 0"
"W37218","MARS-seq","GMP","MARS-seq 4"
"W37219","MARS-seq","MEP","MARS-seq 0"
"W37220","MARS-seq","MEP","MARS-seq 0"
"W37221","MARS-seq","MEP","MARS-seq 0"
"W37223","MARS-seq","MEP","MARS-seq 0"
"W37224","MARS-seq","GMP","MARS-seq 1"
"W37225","MARS-seq","GMP","MARS-seq 1"
"W37226","MARS-seq","CMP","MARS-seq 3"
"W37227","MARS-seq","MEP","MARS-seq 0"
"W37228","MARS-seq","CMP","MARS-seq 3"
"W37229","MARS-seq","CMP","MARS-seq 3"
"W37230","MARS-seq","GMP","MARS-seq 4"
"W37231","MARS-seq","MEP","MARS-seq 0"
"W37232","MARS-seq","GMP","MARS-seq 1"
"W37233","MARS-seq","MEP","MARS-seq 0"
"W37234","MARS-seq","MEP","MARS-seq 0"
"W37235","MARS-seq","GMP","MARS-seq 4"
"W37236","MARS-seq","MEP","MARS-seq 0"
"W37237","MARS-seq","GMP","MARS-seq 1"
"W37238","MARS-seq","CMP","MARS-seq 3"
"W37239","MARS-seq","MEP","MARS-seq 0"
"W37240","MARS-seq","GMP","MARS-seq 2"
"W37241","MARS-seq","MEP","MARS-seq 0"
"W37242","MARS-seq","GMP","MARS-seq 2"
"W37243","MARS-seq","MEP","MARS-seq 0"
"W37244","MARS-seq","GMP","MARS-seq 4"
"W37245","MARS-seq","MEP","MARS-seq 0"
"W37246","MARS-seq","MEP","MARS-seq 0"
"W37247","MARS-seq","CMP","MARS-seq 3"
"W37248","MARS-seq","MEP","MARS-seq 3"
"W37249","MARS-seq","GMP","MARS-seq 2"
"W37250","MARS-seq","MEP","MARS-seq 0"
"W37251","MARS-seq","MEP","MARS-seq 0"
"W37252","MARS-seq","GMP","MARS-seq 2"
"W37253","MARS-seq","MEP","MARS-seq 0"
"W37258","MARS-seq","GMP","MARS-seq 1"
"W37259","MARS-seq","MEP","MARS-seq 0"
"W37260","MARS-seq","MEP","MARS-seq 3"
"W37261","MARS-seq","CMP","MARS-seq 2"
"W37262","MARS-seq","MEP","MARS-seq 0"
"W37264","MARS-seq","MEP","MARS-seq 0"
"W37265","MARS-seq","MEP","MARS-seq 0"
"W37266","MARS-seq","MEP","MARS-seq 0"
"W37267","MARS-seq","GMP","MARS-seq 4"
"W37268","MARS-seq","CMP","MARS-seq 3"
"W37269","MARS-seq","MEP","MARS-seq 0"
"W37270","MARS-seq","GMP","MARS-seq 4"
"W37273","MARS-seq","CMP","MARS-seq 2"
"W37274","MARS-seq","GMP","MARS-seq 2"
"W37275","MARS-seq","MEP","MARS-seq 0"
"W37276","MARS-seq","MEP","MARS-seq 0"
"W37277","MARS-seq","GMP","MARS-seq 1"
"W37278","MARS-seq","CMP","MARS-seq 2"
"W37279","MARS-seq","GMP","MARS-seq 2"
"W37280","MARS-seq","GMP","MARS-seq 4"
"W37281","MARS-seq","GMP","MARS-seq 4"
"W37282","MARS-seq","MEP","MARS-seq 0"
"W37283","MARS-seq","GMP","MARS-seq 1"
"W37284","MARS-seq","MEP","MARS-seq 0"
"W37285","MARS-seq","MEP","MARS-seq 0"
"W37286","MARS-seq","GMP","MARS-seq 1"
