"","batch","type","cluster"
"Cell932","1","B","1 0"
"Cell933","1","B","1 0"
"Cell934","1","A","1 1"
"Cell935","1","B","1 0"
"Cell936","1","A","1 1"
"Cell937","1","A","1 1"
"Cell938","1","A","1 1"
"Cell939","1","A","1 1"
"Cell940","1","A","1 1"
"Cell941","1","B","1 0"
"Cell942","1","B","1 0"
"Cell943","1","B","1 0"
"Cell944","1","B","1 0"
"Cell945","1","A","1 1"
"Cell946","1","B","1 0"
"Cell947","1","B","1 0"
"Cell948","1","B","1 0"
"Cell949","1","A","1 1"
"Cell950","1","B","1 0"
"Cell951","1","A","1 1"
"Cell952","1","A","1 1"
"Cell953","1","B","1 0"
"Cell954","1","B","1 0"
"Cell955","1","A","1 1"
"Cell956","1","A","1 1"
"Cell957","1","A","1 1"
"Cell958","1","A","1 1"
"Cell959","1","B","1 0"
"Cell960","1","B","1 0"
"Cell961","1","A","1 1"
"Cell962","1","B","1 0"
"Cell963","1","B","1 0"
"Cell964","1","B","1 0"
"Cell965","1","A","1 1"
"Cell966","1","B","1 0"
"Cell967","1","A","1 1"
"Cell968","1","A","1 1"
"Cell969","1","B","1 0"
"Cell970","1","B","1 0"
"Cell971","1","A","1 1"
"Cell972","1","B","1 0"
"Cell973","1","B","1 0"
"Cell974","1","B","1 0"
"Cell975","1","B","1 0"
"Cell976","1","A","1 1"
"Cell977","1","A","1 1"
"Cell978","1","A","1 1"
"Cell979","1","B","1 0"
"Cell980","1","A","1 1"
"Cell981","1","A","1 1"
"Cell982","1","A","1 1"
"Cell983","1","A","1 1"
"Cell984","1","B","1 0"
"Cell985","1","B","1 0"
"Cell986","1","B","1 0"
"Cell987","1","B","1 0"
"Cell988","1","B","1 0"
"Cell989","1","A","1 1"
"Cell990","1","B","1 0"
"Cell991","1","B","1 0"
"Cell992","1","B","1 0"
"Cell993","1","B","1 0"
"Cell994","1","A","1 1"
"Cell995","1","A","1 1"
"Cell996","1","A","1 1"
"Cell997","1","A","1 1"
"Cell998","1","B","1 0"
"Cell999","1","A","1 1"
"Cell1000","1","B","1 0"
"Cell3001","1","B","1 0"
"Cell3002","1","B","1 0"
"Cell3003","1","A","1 1"
"Cell3004","1","A","1 1"
"Cell3005","1","A","1 1"
"Cell3006","1","B","1 0"
"Cell3007","1","B","1 0"
"Cell3008","1","A","1 1"
"Cell3009","1","A","1 1"
"Cell3010","1","A","1 1"
"Cell3011","1","B","1 0"
"Cell3012","1","A","1 1"
"Cell3013","1","A","1 1"
"Cell3014","1","A","1 1"
"Cell3015","1","B","1 0"
"Cell3016","1","A","1 1"
"Cell3017","1","B","1 0"
"Cell3018","1","B","1 0"
"Cell3019","1","A","1 1"
"Cell3020","1","B","1 0"
"Cell3021","1","A","1 1"
"Cell3022","1","B","1 0"
"Cell3023","1","A","1 1"
"Cell3024","1","A","1 1"
"Cell3025","1","B","1 0"
"Cell3026","1","B","1 0"
"Cell3027","1","B","1 0"
"Cell3028","1","B","1 0"
"Cell3029","1","B","1 0"
"Cell3030","1","A","1 1"
"Cell3031","1","A","1 1"
"Cell3032","1","B","1 0"
"Cell3033","1","B","1 0"
"Cell3034","1","A","1 1"
"Cell3035","1","A","1 1"
"Cell3036","1","B","1 0"
"Cell3037","1","A","1 1"
"Cell3038","1","B","1 0"
"Cell3039","1","B","1 0"
"Cell3040","1","A","1 1"
"Cell3041","1","B","1 0"
"Cell3042","1","A","1 1"
"Cell3043","1","B","1 0"
"Cell3044","1","A","1 1"
"Cell3045","1","B","1 0"
"Cell3046","1","A","1 1"
"Cell3047","1","A","1 1"
"Cell3048","1","B","1 0"
"Cell3049","1","A","1 1"
"Cell3050","1","A","1 1"
"Cell3051","1","B","1 0"
"Cell3052","1","A","1 1"
"Cell3053","1","B","1 0"
"Cell3054","1","B","1 0"
"Cell3055","1","A","1 1"
"Cell3056","1","B","1 0"
"Cell3057","1","A","1 1"
"Cell3058","1","B","1 0"
"Cell3059","1","B","1 0"
"Cell3060","1","A","1 1"
"Cell3061","1","B","1 0"
"Cell3062","1","A","1 1"
"Cell3063","1","A","1 1"
"Cell3064","1","B","1 0"
"Cell3065","1","B","1 0"
"Cell3066","1","B","1 0"
"Cell3067","1","B","1 0"
"Cell3068","1","B","1 0"
"Cell3069","1","A","1 1"
"Cell3070","1","B","1 0"
"Cell3071","1","A","1 1"
"Cell3072","1","A","1 1"
"Cell3073","1","A","1 1"
"Cell3074","1","B","1 0"
"Cell3075","1","B","1 0"
"Cell3076","1","B","1 0"
"Cell3077","1","A","1 1"
"Cell3078","1","B","1 0"
"Cell3079","1","B","1 0"
"Cell3080","1","A","1 1"
"Cell3081","1","A","1 1"
"Cell3082","1","A","1 1"
"Cell3083","1","A","1 1"
"Cell3084","1","B","1 0"
"Cell3085","1","A","1 1"
"Cell3086","1","B","1 0"
"Cell3087","1","A","1 1"
"Cell3088","1","B","1 0"
"Cell3089","1","A","1 1"
"Cell3090","1","B","1 0"
"Cell3091","1","B","1 0"
"Cell3092","1","A","1 1"
"Cell3093","1","B","1 0"
"Cell3094","1","B","1 0"
"Cell3095","1","A","1 1"
"Cell3096","1","B","1 0"
"Cell3097","1","A","1 1"
"Cell3098","1","B","1 0"
"Cell3099","1","A","1 1"
"Cell3100","1","B","1 0"
"Cell3101","1","B","1 0"
"Cell3102","1","A","1 1"
"Cell3103","1","B","1 0"
"Cell3104","1","A","1 1"
"Cell3105","1","B","1 0"
"Cell3106","1","A","1 1"
"Cell3107","1","B","1 0"
"Cell3108","1","B","1 0"
"Cell3109","1","B","1 0"
"Cell3110","1","A","1 1"
"Cell3111","1","A","1 1"
"Cell3112","1","B","1 0"
"Cell3113","1","A","1 1"
"Cell3114","1","A","1 1"
"Cell3115","1","B","1 0"
"Cell3116","1","B","1 0"
"Cell3117","1","A","1 1"
"Cell3118","1","B","1 0"
"Cell3119","1","B","1 0"
"Cell3120","1","A","1 1"
"Cell3121","1","A","1 1"
"Cell3122","1","A","1 1"
"Cell3123","1","A","1 1"
"Cell3124","1","B","1 0"
"Cell3125","1","A","1 1"
"Cell3126","1","B","1 0"
"Cell3127","1","A","1 1"
"Cell3128","1","B","1 0"
"Cell3129","1","A","1 1"
"Cell3130","1","A","1 1"
"Cell3131","1","B","1 0"
"Cell3132","1","A","1 1"
"Cell3133","1","A","1 1"
"Cell3134","1","B","1 0"
"Cell3135","1","B","1 0"
"Cell3136","1","A","1 1"
"Cell3137","1","A","1 1"
"Cell3138","1","B","1 0"
"Cell3139","1","B","1 0"
"Cell3140","1","A","1 1"
"Cell3141","1","A","1 1"
"Cell3142","1","A","1 1"
"Cell3143","1","A","1 1"
"Cell3144","1","B","1 0"
"Cell3145","1","A","1 1"
"Cell3146","1","B","1 0"
"Cell3147","1","A","1 1"
"Cell3148","1","B","1 0"
"Cell3149","1","B","1 0"
"Cell3150","1","B","1 0"
"Cell3151","1","B","1 0"
"Cell3152","1","B","1 0"
"Cell3153","1","A","1 1"
"Cell3154","1","B","1 0"
"Cell3155","1","A","1 1"
"Cell3156","1","A","1 1"
"Cell3157","1","B","1 0"
"Cell3158","1","B","1 0"
"Cell3159","1","A","1 1"
"Cell3160","1","B","1 0"
"Cell3161","1","A","1 1"
"Cell3162","1","B","1 0"
"Cell3163","1","B","1 0"
"Cell3164","1","B","1 0"
"Cell3165","1","A","1 1"
"Cell3166","1","B","1 0"
"Cell3167","1","A","1 1"
"Cell3168","1","A","1 1"
"Cell3169","1","A","1 1"
"Cell3170","1","A","1 1"
"Cell3171","1","A","1 1"
"Cell3172","1","B","1 0"
"Cell3173","1","A","1 1"
"Cell3174","1","B","1 0"
"Cell3175","1","B","1 0"
"Cell3176","1","B","1 0"
"Cell3177","1","A","1 1"
"Cell3178","1","A","1 1"
"Cell3179","1","A","1 1"
"Cell3180","1","A","1 1"
"Cell3181","1","B","1 0"
"Cell3182","1","B","1 0"
"Cell3183","1","B","1 0"
"Cell3184","1","A","1 1"
"Cell3185","1","B","1 0"
"Cell3186","1","A","1 1"
"Cell3187","1","B","1 0"
"Cell3188","1","B","1 0"
"Cell3189","1","B","1 0"
"Cell3190","1","B","1 0"
"Cell3191","1","A","1 1"
"Cell3192","1","A","1 1"
"Cell3193","1","A","1 1"
"Cell3194","1","A","1 1"
"Cell3195","1","B","1 0"
"Cell3196","1","A","1 1"
"Cell3197","1","B","1 0"
"Cell3198","1","A","1 1"
"Cell3199","1","B","1 0"
"Cell3200","1","A","1 1"
"Cell3201","1","A","1 1"
"Cell3202","1","B","1 0"
"Cell3203","1","A","1 1"
"Cell3204","1","A","1 1"
"Cell3205","1","B","1 0"
"Cell3206","1","B","1 0"
"Cell3207","1","A","1 1"
"Cell3208","1","A","1 1"
"Cell3209","1","A","1 1"
"Cell3210","1","B","1 0"
"Cell3211","1","B","1 0"
"Cell3212","1","A","1 1"
"Cell3213","1","A","1 1"
"Cell3214","1","A","1 1"
"Cell3215","1","A","1 1"
"Cell3216","1","B","1 0"
"Cell3217","1","B","1 0"
"Cell3218","1","A","1 1"
"Cell3219","1","B","1 0"
"Cell3220","1","B","1 0"
"Cell3221","1","A","1 1"
"Cell3222","1","A","1 1"
"Cell3223","1","A","1 1"
"Cell3224","1","A","1 1"
"Cell3225","1","B","1 0"
"Cell3226","1","B","1 0"
"Cell3227","1","B","1 0"
"Cell3228","1","A","1 1"
"Cell3229","1","B","1 0"
"Cell3230","1","B","1 0"
"Cell3231","1","A","1 1"
"Cell3232","1","B","1 0"
"Cell3233","1","A","1 1"
"Cell3234","1","A","1 1"
"Cell3235","1","A","1 1"
"Cell3236","1","B","1 0"
"Cell3237","1","A","1 1"
"Cell3238","1","B","1 0"
"Cell3239","1","B","1 0"
"Cell3240","1","A","1 1"
"Cell3241","1","B","1 0"
"Cell3242","1","B","1 0"
"Cell3243","1","A","1 1"
"Cell3244","1","A","1 1"
"Cell3245","1","A","1 1"
"Cell3246","1","A","1 1"
"Cell3247","1","B","1 0"
"Cell3248","1","B","1 0"
"Cell3249","1","B","1 0"
"Cell3250","1","A","1 1"
"Cell3251","1","B","1 0"
"Cell3252","1","B","1 0"
"Cell3253","1","A","1 1"
"Cell3254","1","B","1 0"
"Cell3255","1","B","1 0"
"Cell3256","1","A","1 1"
"Cell3257","1","A","1 1"
"Cell3258","1","A","1 1"
"Cell3259","1","A","1 1"
"Cell3260","1","A","1 1"
"Cell3261","1","A","1 1"
"Cell3262","1","A","1 1"
"Cell3263","1","A","1 1"
"Cell3264","1","B","1 0"
"Cell3265","1","B","1 0"
"Cell3266","1","A","1 1"
"Cell3267","1","B","1 0"
"Cell3268","1","A","1 1"
"Cell3269","1","B","1 0"
"Cell3270","1","B","1 0"
"Cell3271","1","B","1 0"
"Cell3272","1","A","1 1"
"Cell3273","1","A","1 1"
"Cell3274","1","A","1 1"
"Cell3275","1","B","1 0"
"Cell3276","1","B","1 0"
"Cell3277","1","B","1 0"
"Cell3278","1","B","1 0"
"Cell3279","1","B","1 0"
"Cell3280","1","B","1 0"
"Cell3281","1","B","1 0"
"Cell3282","1","B","1 0"
"Cell3283","1","B","1 0"
"Cell3284","1","B","1 0"
"Cell3285","1","A","1 1"
"Cell3286","1","A","1 1"
"Cell3287","1","B","1 0"
"Cell3288","1","A","1 1"
"Cell3289","1","A","1 1"
"Cell3290","1","A","1 1"
"Cell3291","1","A","1 1"
"Cell3292","1","A","1 1"
"Cell3293","1","B","1 0"
"Cell3294","1","A","1 1"
"Cell3295","1","B","1 0"
"Cell3296","1","A","1 1"
"Cell3297","1","A","1 1"
"Cell3298","1","B","1 0"
"Cell3299","1","A","1 1"
"Cell3300","1","B","1 0"
"Cell3301","1","A","1 1"
"Cell3302","1","A","1 1"
"Cell3303","1","A","1 1"
"Cell3304","1","B","1 0"
"Cell3305","1","B","1 0"
"Cell3306","1","A","1 1"
"Cell3307","1","A","1 1"
"Cell3308","1","B","1 0"
"Cell3309","1","B","1 0"
"Cell3310","1","A","1 1"
"Cell3311","1","A","1 1"
"Cell3312","1","A","1 1"
"Cell3313","1","B","1 0"
"Cell3314","1","B","1 0"
"Cell3315","1","A","1 1"
"Cell3316","1","A","1 1"
"Cell3317","1","A","1 1"
"Cell3318","1","B","1 0"
"Cell3319","1","A","1 1"
"Cell3320","1","B","1 0"
"Cell3321","1","B","1 0"
"Cell3322","1","B","1 0"
"Cell3323","1","A","1 1"
"Cell3324","1","A","1 1"
"Cell3325","1","B","1 0"
"Cell3326","1","A","1 1"
"Cell3327","1","A","1 1"
"Cell3328","1","A","1 1"
"Cell3329","1","A","1 1"
"Cell3330","1","B","1 0"
"Cell3331","1","B","1 0"
"Cell3332","1","B","1 0"
"Cell3333","1","B","1 0"
"Cell3334","1","B","1 0"
"Cell3335","1","B","1 0"
"Cell3336","1","A","1 1"
"Cell3337","1","A","1 1"
"Cell3338","1","B","1 0"
"Cell3339","1","A","1 1"
"Cell3340","1","B","1 0"
"Cell3341","1","B","1 0"
"Cell3342","1","B","1 0"
"Cell3343","1","B","1 0"
"Cell3344","1","A","1 1"
"Cell3345","1","A","1 1"
"Cell3346","1","B","1 0"
"Cell3347","1","B","1 0"
"Cell3348","1","A","1 1"
"Cell3349","1","B","1 0"
"Cell3350","1","A","1 1"
"Cell3351","1","B","1 0"
"Cell3352","1","A","1 1"
"Cell3353","1","A","1 1"
"Cell3354","1","A","1 1"
"Cell3355","1","B","1 0"
"Cell3356","1","B","1 0"
"Cell3357","1","A","1 1"
"Cell3358","1","A","1 1"
"Cell3359","1","B","1 0"
"Cell3360","1","B","1 0"
"Cell3361","1","B","1 0"
"Cell3362","1","A","1 1"
"Cell3363","1","A","1 1"
"Cell3364","1","A","1 1"
"Cell3365","1","A","1 1"
"Cell3366","1","A","1 1"
"Cell3367","1","A","1 1"
"Cell3368","1","B","1 0"
"Cell3369","1","A","1 1"
"Cell3370","1","B","1 0"
"Cell3371","1","A","1 1"
"Cell3372","1","B","1 0"
"Cell3373","1","B","1 0"
"Cell3374","1","A","1 1"
"Cell3375","1","B","1 0"
"Cell3376","1","B","1 0"
"Cell3377","1","B","1 0"
"Cell3378","1","B","1 0"
"Cell3379","1","B","1 0"
"Cell3380","1","B","1 0"
"Cell3381","1","A","1 1"
"Cell3382","1","B","1 0"
"Cell3383","1","B","1 0"
"Cell3384","1","B","1 0"
"Cell3385","1","A","1 1"
"Cell3386","1","B","1 0"
"Cell3387","1","B","1 0"
"Cell3388","1","A","1 1"
"Cell3389","1","B","1 0"
"Cell3390","1","B","1 0"
"Cell3391","1","B","1 0"
"Cell3392","1","A","1 1"
"Cell3393","1","B","1 0"
"Cell3394","1","B","1 0"
"Cell3395","1","A","1 1"
"Cell3396","1","B","1 0"
"Cell3397","1","B","1 0"
"Cell3398","1","B","1 0"
"Cell3399","1","A","1 1"
"Cell3400","1","A","1 1"
"Cell3401","1","A","1 1"
"Cell3402","1","A","1 1"
"Cell3403","1","B","1 0"
"Cell3404","1","B","1 0"
"Cell3405","1","B","1 0"
"Cell3406","1","A","1 1"
"Cell3407","1","A","1 1"
"Cell3408","1","A","1 1"
"Cell3409","1","B","1 0"
"Cell3410","1","B","1 0"
"Cell3411","1","A","1 1"
"Cell3412","1","B","1 0"
"Cell3413","1","B","1 0"
"Cell3414","1","A","1 1"
"Cell3415","1","B","1 0"
"Cell3416","1","A","1 1"
"Cell3417","1","A","1 1"
"Cell3418","1","A","1 1"
"Cell3419","1","B","1 0"
"Cell3420","1","B","1 0"
"Cell3421","1","B","1 0"
"Cell3422","1","B","1 0"
"Cell3423","1","A","1 1"
"Cell3424","1","B","1 0"
"Cell3425","1","A","1 1"
"Cell3426","1","B","1 0"
"Cell3427","1","A","1 1"
"Cell3428","1","B","1 0"
"Cell3429","1","B","1 0"
"Cell3430","1","A","1 1"
"Cell3431","1","B","1 0"
"Cell3432","1","B","1 0"
"Cell3433","1","A","1 1"
"Cell3434","1","B","1 0"
"Cell3435","1","B","1 0"
"Cell3436","1","A","1 1"
"Cell3437","1","A","1 1"
"Cell3438","1","A","1 1"
"Cell3439","1","A","1 1"
"Cell3440","1","B","1 0"
"Cell3441","1","B","1 0"
"Cell3442","1","A","1 1"
"Cell3443","1","B","1 0"
"Cell3444","1","A","1 1"
"Cell3445","1","B","1 0"
"Cell3446","1","B","1 0"
"Cell3447","1","A","1 1"
"Cell3448","1","A","1 1"
"Cell3449","1","A","1 1"
"Cell3450","1","A","1 1"
"Cell3451","1","A","1 1"
"Cell3452","1","B","1 0"
"Cell3453","1","A","1 1"
"Cell3454","1","B","1 0"
"Cell3455","1","A","1 1"
"Cell3456","1","A","1 1"
"Cell3457","1","A","1 1"
"Cell3458","1","A","1 1"
"Cell3459","1","A","1 1"
"Cell3460","1","A","1 1"
"Cell3461","1","A","1 1"
"Cell3462","1","A","1 1"
"Cell3463","1","B","1 0"
"Cell3464","1","A","1 1"
"Cell3465","1","B","1 0"
"Cell3466","1","A","1 1"
"Cell3467","1","A","1 1"
"Cell3468","1","A","1 1"
"Cell3469","1","B","1 0"
"Cell3470","1","A","1 1"
"Cell3471","1","A","1 1"
"Cell3472","1","B","1 0"
"Cell3473","1","B","1 0"
"Cell3474","1","B","1 0"
"Cell3475","1","B","1 0"
"Cell3476","1","B","1 0"
"Cell3477","1","B","1 0"
"Cell3478","1","A","1 1"
"Cell3479","1","A","1 1"
"Cell3480","1","A","1 1"
"Cell3481","1","A","1 1"
"Cell3482","1","A","1 1"
"Cell3483","1","A","1 1"
"Cell3484","1","B","1 0"
"Cell3485","1","A","1 1"
"Cell3486","1","A","1 1"
"Cell3487","1","A","1 1"
"Cell3488","1","A","1 1"
"Cell3489","1","A","1 1"
"Cell3490","1","B","1 0"
"Cell3491","1","B","1 0"
"Cell3492","1","A","1 1"
"Cell3493","1","A","1 1"
"Cell3494","1","B","1 0"
"Cell3495","1","A","1 1"
"Cell3496","1","A","1 1"
"Cell3497","1","A","1 1"
"Cell3498","1","A","1 1"
"Cell3499","1","A","1 1"
"Cell3500","1","A","1 1"
"Cell3501","1","B","1 0"
"Cell3502","1","B","1 0"
"Cell3503","1","B","1 0"
"Cell3504","1","B","1 0"
"Cell3505","1","A","1 1"
"Cell3506","1","A","1 1"
"Cell3507","1","A","1 1"
"Cell3508","1","B","1 0"
"Cell3509","1","A","1 1"
"Cell3510","1","A","1 1"
"Cell3511","1","A","1 1"
"Cell3512","1","A","1 1"
"Cell3513","1","A","1 1"
"Cell3514","1","B","1 0"
"Cell3515","1","A","1 1"
"Cell3516","1","A","1 1"
"Cell3517","1","A","1 1"
"Cell3518","1","B","1 0"
"Cell3519","1","A","1 1"
"Cell3520","1","B","1 0"
"Cell3521","1","B","1 0"
"Cell3522","1","A","1 1"
"Cell3523","1","A","1 1"
"Cell3524","1","B","1 0"
"Cell3525","1","B","1 0"
"Cell3526","1","B","1 0"
"Cell3527","1","A","1 1"
"Cell3528","1","A","1 1"
"Cell3529","1","B","1 0"
"Cell3530","1","A","1 1"
"Cell3531","1","B","1 0"
"Cell3532","1","B","1 0"
"Cell3533","1","B","1 0"
"Cell3534","1","A","1 1"
"Cell3535","1","A","1 1"
"Cell3536","1","B","1 0"
"Cell3537","1","A","1 1"
"Cell3538","1","B","1 0"
"Cell3539","1","A","1 1"
"Cell3540","1","A","1 1"
"Cell3541","1","B","1 0"
"Cell3542","1","A","1 1"
"Cell3543","1","B","1 0"
"Cell3544","1","A","1 1"
"Cell3545","1","B","1 0"
"Cell3546","1","A","1 1"
"Cell3547","1","A","1 1"
"Cell3548","1","B","1 0"
"Cell3549","1","B","1 0"
"Cell3550","1","A","1 1"
"Cell3551","1","A","1 1"
"Cell3552","1","B","1 0"
"Cell3553","1","A","1 1"
"Cell3554","1","B","1 0"
"Cell3555","1","B","1 0"
"Cell3556","1","B","1 0"
"Cell3557","1","B","1 0"
"Cell3558","1","A","1 1"
"Cell3559","1","B","1 0"
"Cell3560","1","B","1 0"
"Cell3561","1","A","1 1"
"Cell3562","1","A","1 1"
"Cell3563","1","A","1 1"
"Cell3564","1","B","1 0"
"Cell3565","1","B","1 0"
"Cell3566","1","B","1 0"
"Cell3567","1","B","1 0"
"Cell3568","1","A","1 1"
"Cell3569","1","A","1 1"
"Cell3570","1","B","1 0"
"Cell3571","1","B","1 0"
"Cell3572","1","B","1 0"
"Cell3573","1","A","1 1"
"Cell3574","1","A","1 1"
"Cell3575","1","B","1 0"
"Cell3576","1","B","1 0"
"Cell3577","1","A","1 1"
"Cell3578","1","A","1 1"
"Cell3579","1","B","1 0"
"Cell3580","1","A","1 1"
"Cell3581","1","A","1 1"
"Cell3582","1","B","1 0"
"Cell3583","1","B","1 0"
"Cell3584","1","B","1 0"
"Cell3585","1","B","1 0"
"Cell3586","1","B","1 0"
"Cell3587","1","B","1 0"
"Cell3588","1","A","1 1"
"Cell3589","1","B","1 0"
"Cell3590","1","A","1 1"
"Cell3591","1","A","1 1"
"Cell3592","1","A","1 1"
"Cell3593","1","B","1 0"
"Cell3594","1","B","1 0"
"Cell3595","1","A","1 1"
"Cell3596","1","B","1 0"
"Cell3597","1","A","1 1"
"Cell3598","1","A","1 1"
"Cell3599","1","A","1 1"
"Cell3600","1","A","1 1"
"Cell3601","1","A","1 1"
"Cell3602","1","B","1 0"
"Cell3603","1","B","1 0"
"Cell3604","1","A","1 1"
"Cell3605","1","B","1 0"
"Cell3606","1","B","1 0"
"Cell3607","1","A","1 1"
"Cell3608","1","A","1 1"
"Cell3609","1","B","1 0"
"Cell3610","1","B","1 0"
"Cell3611","1","B","1 0"
"Cell3612","1","A","1 1"
"Cell3613","1","A","1 1"
"Cell3614","1","A","1 1"
"Cell3615","1","B","1 0"
"Cell3616","1","A","1 1"
"Cell3617","1","A","1 1"
"Cell3618","1","B","1 0"
"Cell3619","1","B","1 0"
"Cell3620","1","B","1 0"
"Cell3621","1","B","1 0"
"Cell3622","1","A","1 1"
"Cell3623","1","A","1 1"
"Cell3624","1","A","1 1"
"Cell3625","1","A","1 1"
"Cell3626","1","B","1 0"
"Cell3627","1","B","1 0"
"Cell3628","1","B","1 0"
"Cell3629","1","B","1 0"
"Cell3630","1","A","1 1"
"Cell3631","1","B","1 0"
"Cell3632","1","B","1 0"
"Cell3633","1","B","1 0"
"Cell3634","1","B","1 0"
"Cell3635","1","A","1 1"
"Cell3636","1","A","1 1"
"Cell3637","1","B","1 0"
"Cell3638","1","A","1 1"
"Cell3639","1","A","1 1"
"Cell3640","1","B","1 0"
"Cell3641","1","B","1 0"
"Cell3642","1","A","1 1"
"Cell3643","1","A","1 1"
"Cell3644","1","B","1 0"
"Cell3645","1","B","1 0"
"Cell3646","1","B","1 0"
"Cell3647","1","B","1 0"
"Cell3648","1","B","1 0"
"Cell3649","1","A","1 1"
"Cell3650","1","A","1 1"
"Cell3651","1","A","1 1"
"Cell3652","1","B","1 0"
"Cell3653","1","B","1 0"
"Cell3654","1","A","1 1"
"Cell3655","1","B","1 0"
"Cell3656","1","A","1 1"
"Cell3657","1","A","1 1"
"Cell3658","1","A","1 1"
"Cell3659","1","A","1 1"
"Cell3660","1","A","1 1"
"Cell3661","1","A","1 1"
"Cell3662","1","B","1 0"
"Cell3663","1","A","1 1"
"Cell3664","1","A","1 1"
"Cell3665","1","A","1 1"
"Cell3666","1","B","1 0"
"Cell3667","1","B","1 0"
"Cell3668","1","A","1 1"
"Cell3669","1","B","1 0"
"Cell3670","1","A","1 1"
"Cell3671","1","A","1 1"
"Cell3672","1","A","1 1"
"Cell3673","1","B","1 0"
"Cell3674","1","B","1 0"
"Cell3675","1","B","1 0"
"Cell3676","1","A","1 1"
"Cell3677","1","A","1 1"
"Cell3678","1","A","1 1"
"Cell3679","1","A","1 1"
"Cell3680","1","B","1 0"
"Cell3681","1","A","1 1"
"Cell3682","1","B","1 0"
"Cell3683","1","B","1 0"
"Cell3684","1","A","1 1"
"Cell3685","1","A","1 1"
"Cell3686","1","A","1 1"
"Cell3687","1","A","1 1"
"Cell3688","1","B","1 0"
"Cell3689","1","B","1 0"
"Cell3690","1","B","1 0"
"Cell3691","1","A","1 1"
"Cell3692","1","A","1 1"
"Cell3693","1","A","1 1"
"Cell3694","1","A","1 1"
"Cell3695","1","A","1 1"
"Cell3696","1","A","1 1"
"Cell3697","1","A","1 1"
"Cell3698","1","B","1 0"
"Cell3699","1","A","1 1"
"Cell3700","1","B","1 0"
"Cell3701","1","B","1 0"
"Cell3702","1","B","1 0"
"Cell3703","1","A","1 1"
"Cell3704","1","A","1 1"
"Cell3705","1","B","1 0"
"Cell3706","1","B","1 0"
"Cell3707","1","B","1 0"
"Cell3708","1","B","1 0"
"Cell3709","1","A","1 1"
"Cell3710","1","A","1 1"
"Cell3711","1","B","1 0"
"Cell3712","1","B","1 0"
"Cell3713","1","B","1 0"
"Cell3714","1","B","1 0"
"Cell3715","1","A","1 1"
"Cell3716","1","A","1 1"
"Cell3717","1","B","1 0"
"Cell3718","1","B","1 0"
"Cell3719","1","B","1 0"
"Cell3720","1","A","1 1"
"Cell3721","1","B","1 0"
"Cell3722","1","A","1 1"
"Cell3723","1","B","1 0"
"Cell3724","1","A","1 1"
"Cell3725","1","B","1 0"
"Cell3726","1","B","1 0"
"Cell3727","1","A","1 1"
"Cell3728","1","B","1 0"
"Cell3729","1","B","1 0"
"Cell3730","1","B","1 0"
"Cell3731","1","B","1 0"
"Cell3732","1","B","1 0"
"Cell3733","1","A","1 1"
"Cell3734","1","B","1 0"
"Cell3735","1","A","1 1"
"Cell3736","1","B","1 0"
"Cell3737","1","A","1 1"
"Cell3738","1","A","1 1"
"Cell3739","1","B","1 0"
"Cell3740","1","A","1 1"
"Cell3741","1","A","1 1"
"Cell3742","1","B","1 0"
"Cell3743","1","A","1 1"
"Cell3744","1","A","1 1"
"Cell3745","1","A","1 1"
"Cell3746","1","B","1 0"
"Cell3747","1","B","1 0"
"Cell3748","1","A","1 1"
"Cell3749","1","B","1 0"
"Cell3750","1","A","1 1"
"Cell3751","1","B","1 0"
"Cell3752","1","A","1 1"
"Cell3753","1","A","1 1"
"Cell3754","1","A","1 1"
"Cell3755","1","B","1 0"
"Cell3756","1","A","1 1"
"Cell3757","1","B","1 0"
"Cell3758","1","B","1 0"
"Cell3759","1","B","1 0"
"Cell3760","1","B","1 0"
"Cell3761","1","B","1 0"
"Cell3762","1","B","1 0"
"Cell3763","1","B","1 0"
"Cell3764","1","B","1 0"
"Cell3765","1","B","1 0"
"Cell3766","1","B","1 0"
"Cell3767","1","A","1 1"
"Cell3768","1","B","1 0"
"Cell3769","1","B","1 0"
"Cell3770","1","A","1 1"
"Cell3771","1","A","1 1"
"Cell3772","1","A","1 1"
"Cell3773","1","A","1 1"
"Cell3774","1","B","1 0"
"Cell3775","1","A","1 1"
"Cell3776","1","A","1 1"
"Cell3777","1","B","1 0"
"Cell3778","1","B","1 0"
"Cell3779","1","A","1 1"
"Cell3780","1","B","1 0"
"Cell3781","1","B","1 0"
"Cell3782","1","B","1 0"
"Cell3783","1","B","1 0"
"Cell3784","1","A","1 1"
"Cell3785","1","A","1 1"
"Cell3786","1","B","1 0"
"Cell3787","1","A","1 1"
"Cell3788","1","A","1 1"
"Cell3789","1","B","1 0"
"Cell3790","1","B","1 0"
"Cell3791","1","B","1 0"
"Cell3792","1","B","1 0"
"Cell3793","1","A","1 1"
"Cell3794","1","B","1 0"
"Cell3795","1","B","1 0"
"Cell3796","1","A","1 1"
"Cell3797","1","B","1 0"
"Cell3798","1","A","1 1"
"Cell3799","1","B","1 0"
"Cell3800","1","A","1 1"
"Cell3801","1","B","1 0"
"Cell3802","1","B","1 0"
"Cell3803","1","B","1 0"
"Cell3804","1","A","1 1"
"Cell3805","1","A","1 1"
"Cell3806","1","B","1 0"
"Cell3807","1","A","1 1"
"Cell3808","1","B","1 0"
"Cell3809","1","B","1 0"
